r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
Dir proc site of,Direct procedure site of (SNOMED),ATTRIBUTE,Attribute,Spatial,,"is used when the action of the procedure is directly aimed at anatomical or acquired body structure or site, rather than something else located there",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-site-direct
Dir subst of,Direct substance of (SNOMED),ATTRIBUTE,Attribute,Ingredient,,Direct substance (attribute) describes the Substance or Pharmaceutical/biologic product on which the procedure's method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-substance
Direct site of,Direct site of (SNOMED),ATTRIBUTE,,,,,
Direction of,Direction of,ATTRIBUTE,,,,,
Disc indicator of,Discontinued indicator of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Disp dose form of,Dispensed dose form of (SNOMED),ATTRIBUTE,Attribute,Dose,,,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Disposition of,Disposition of (SNOMED),ATTRIBUTE,,,,,
DOI - RxNorm,DOI contains RxNorm (OMOP),MAPS_TO,Composition,Drug,,,
Domain subsumes,Domain subsumes (OMOP),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Dose form group of,Dose form group of (RxNorm),ATTRIBUTE,,,,,
Dose form of,Dose form of (SNOMED),ATTRIBUTE,Attribute,Dose,,,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Dose form unit of,Unit relating to the size of (DM+D),ATTRIBUTE,,,,,
DRG - MDC cat,DRG to MDC category (CMS),MAPS_TO,,,,,
DRG - MS-DRG eq,DRG to MS-DRG equivalent (CMS),MAPS_TO,Identity,Vocab Mapping,,,
Drug class of drug,Drug class of drug (OMOP),UNCATEGORISED,Associative,Drug,Relationships between any Drug Concept Class and a Classification Concept Class is recorded through the “Drug has drug class” and “Drug class of drug” generic relationship pair.,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Drug has drug class,Drug has drug class (OMOP),ATTRIBUTE,Associative,Drug,Relationships between any Drug Concept Class and a Classification Concept Class is recorded through the “Drug has drug class” and “Drug class of drug” generic relationship pair.,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Drug-drug inter for,Drug-drug interaction for (NDF),UNCATEGORISED,,,,,
Due to of,Due to of (SNOMED),MAPS_TO,Attribute,Etiology,"All listed as ""Clinical Finding and Disorder""","to identify a clinical finding/disorder, event, or procedure concept as the direct cause of another Clinical finding or Disorder concept",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#due-to
During,During (SNOMED),METADATA,Attribute,Temporal,"All listed as ""Clinical Finding and Disorder""","Models concepts in which a clinical finding occurs during a procedure. Neither asserting nor excluding a causal relationship, it instead emphasizes a sequence of events.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#during
